No,Username,Komentar,Sentimen,platform
438,,Congrats! 🎉,Positif,linkedin
439,,So exited for this!,Positif,linkedin
440,,Love this!,Positif,linkedin
441,,Tuh udah di share tutorialnya sama KakMin🤩🤩🤩,Positif,linkedin
442,,Love this！,Positif,linkedin
443,,OMG akhirnya datang lagi!!!!,Positif,linkedin
444,,Excited for this!,Positif,linkedin
445,,Ayo curi start. Be the first registrant,Positif,linkedin
446,,"kali ini ga boleh terlewat lagi, harus coba daftar! 🔥 🤩",Positif,linkedin
447,,Whatt?!!! Batch 3,Positif,linkedin
448,,Bersemangat untuk ini 🔥,Positif,linkedin
449,,OMG CAN’T WAIT!,Positif,linkedin
450,,Can't wait for thiss! 🔥,Positif,linkedin
451,,Congrats! 🎉,Positif,linkedin
452,,"Kak, mau tanya kalo untuk mahasiswa semester 4 bisa ikut nggak ya??",Netral,linkedin
453,,Absolutely amazing,Positif,linkedin
454,,"So excited apalagi buat saya yang antusias coba lamar intern di berbagai perusahaan yang diketahui tapi belum ada kabar lanjutan, semoga saja kesempatannya justru di Telkom ini ya",Positif,linkedin
455,,SO EXCITED!,Positif,linkedin
456,,Alhamdulillah akhirnya ada lagi. Mudah-mudahan punya kesempatan untuk magang di sini. Bismillah🔥,Positif,linkedin
457,,"Ilmi Nurchasanah Semangat, Kakmin tunggu! 🙆🏻‍♀️",Positif,linkedin
458,,buat semester 8 yg beres sidang boleh?,Netral,linkedin
459,,Start preparing yourself and get your documents ready and stay tuned🔥🔥🔥,Positif,linkedin
460,,buat fresh graduate bsa ga ya min?,Netral,linkedin
461,,"Kak mau tanya, nanti lokasi penempatannya dimana ya, kak?",Netral,linkedin
462,,"Interested, open to all major or not?",Positif,linkedin
463,,Impressive!,Positif,linkedin
464,,Bersemangat untuk ini 🔥,Positif,linkedin
465,,Kerenn 👍👍👍. Congrats mbak Galuh Beningkinasih Worosunti & Nenggala Yudhabrama.,Positif,linkedin
466,,Congrats! 🎉,Positif,linkedin
467,,"Kelas kali ini memperluas wawasan n mempersiapkan diri menghadapi dunia kerja yang sesungguhnya, keren sekali kakak mentornya🫶🏻😊",Positif,linkedin
468,,Para mentor yang sudah berpengalaman di dunia profesional🚀🚀🚀,Positif,linkedin
469,,"Oskar Muin, M.T thank you Oskar!🙌🏻",Positif,linkedin
470,,aaak! Super duper cant wait to learn and contribute 😍,Positif,linkedin
471,,Kereen Mas.e Amien Karim Sist Narda Davina Mas Muhamad Alfan Nurdin 👏,Positif,linkedin
472,,"Firman F.. Aaak thank youuu kaka firman, Let's Grow! 
 hashtag
 #DigitalForFuture",Positif,linkedin
473,,Great opportunity,Positif,linkedin
474,,Glad to have such dedicated and talented mentors on board! ❣️,Positif,linkedin
475,,mimin kok ga sesuai timeline sih? udah dikirim surat cinta aja nih,Negatif,instagram
476,,"Min, aku udah nyoba sejam lebih tapi tetep ngga bisa donload app SEB nya, gimana yaa? apakah bisa dicoba ulang? sayang banget kesempatan ini gagal gara gara sistem ngga bisa diakses😭",Negatif,instagram
477,,Ka sks tetep ga bisa dirubah ? 😭😭,Negatif,instagram
478,,Cung yang dapet email tidak lolos😢,Negatif,instagram
479,,kak ini kalo udah dapet email belum lolos ga bisa ada kesempatan lagi kah? kalo di timeline kan pengumuman masih tgl 25 juli😭,Negatif,instagram
480,,"Izin Min, saya udah dari jam 8 malam buka website dan hanya tinggal submit link ga bisa terus, sampai jam 4 pagi saya diam diri melamun ketolak karna kendala ga bisa submit, ga ada cara lain kah min untuk submit video selain dari web? Udah 2 kali saya ditolak cuman karna ga bisa submit lewat web, padahal udah di kasih perpanjangan waktu😢",Negatif,instagram
481,,minnn apakah tidak ada extend satu kali lagi minnn Digistar Class Internnyyaaa sampe jam 9 pagi saja tidak papa min…saya tinggal submit linkkk videonya😔😔tadi sinyal tiba tiba-tiba hilang😔😔,Negatif,instagram
482,,ini aku exam nya knp yaa eror trus :(,Negatif,instagram
483,,Aduhhhhh aku telat yg trial test😭😭😭 udh gabisa diakses kah??,Negatif,instagram
484,,Kak downloadnya gagal terus nih storage laptop aman sinyal aman tapi ga beres beres,Negatif,instagram
485,,plis aku kurang paham sama seb 😟,Negatif,instagram
486,,"Min, kok aku gak ada link buat submit video resume ya, aku udah scroll di bagian ""program saya"" tapi gak ada ya",Negatif,instagram
487,,"Ada yg masih blm bisa gaa? Kok saya gagal saat setup aplikasi seb nyaa yaa? Error message: ""setup failed"" 😢.. solusi nya gimana?",Negatif,instagram
488,,Min kenapa online test nya harus pakai laptop😢,Negatif,instagram
489,,tbtb laptop blue screen min🥲🥲🥲,Negatif,instagram
490,,kalo web stuck gmn ya min?,Negatif,instagram
491,,"kak, pakta integritasnya knp gabisa diunduh yaa??",Negatif,instagram
492,,Ini belum ada email pemilihan lagi ya? Kalau sampe tanggal 15 Juli gadapet berarti ga lolos kak? 😢,Negatif,instagram
493,,"Min, ga ada solusi kah buat pesertayang selalu error web nya saat pengisian undangan",Negatif,instagram
494,,"Min solusi untuk NIK yang sudah terpakai gimana ya? Kebetulan sudah email dan wa min tetapi belum ada jawaban, thankyou min",Negatif,instagram
495,,"Min, Tolong solusi buat yang webnya stuck/eror min🙏🏻, udah bingung bgt kenapanya",Negatif,instagram
496,,min ini bagian nama institusi saya gabisa isi,Negatif,instagram
497,,"Min aku udah dapet email, dah regist + reenrollment tp knp ttp dpt wa belum regist ya? Padahal dah tertera jelas kok, aku screenshot dan kirim lgsg ke tim cp nya. Webnya jg error minn aku gbs ngecek",Negatif,instagram
498,,MIN MASIH BLM DAPET EMAIL PADAHAL UDH BERHASIL DAFTAR DI WEB MAGENTAA😭😭😭,Negatif,instagram
499,,Min kok pakta integritas gak bisa dibuka unduhannya,Negatif,instagram
500,,min yang webnya error setiap mau submit gimana ya,Negatif,instagram
